pseudoword,en_word,en_sense,it_word,it_sense,es_word,es_sense,fr_word,fr_sense,common_synset_id
right-derecho-derecho-droit,right,Conservative_Party_(Norway),derecho,Høyre,derecho,Høyre,droit,Parti_conservateur_(Norvège),bn:00399713n
right-derecho-derecho-droit,right,right-wing_politics,derecho,destra_(politica),derecho,derecha_política,droit,droite_(politique),bn:27270073n
right-derecho-derecho-droit,right,ethics,derecho,etica,derecho,ética,droit,éthique,bn:00031712n
right-derecho-derecho-droit,right,Circles_(Mac_Miller_album),derecho,Circles_(Mac_Miller),derecho,Circles_(álbum),droit,Circles_(album_de_Mac_Miller),bn:25365783n
