pseudoword,en_word,en_sense,it_word,it_sense,es_word,es_sense,fr_word,fr_sense,common_synset_id
bank-riva-ribera-rive,bank,North_American_B-25_Mitchell,riva,North_American_B-25_Mitchell,ribera,North_American_B-25_Mitchell,rive,North_American_B-25_Mitchell,bn:03162144n
bank-riva-ribera-rive,bank,bank,riva,banca,ribera,banco,rive,banque,bn:00008364n
bank-riva-ribera-rive,bank,Bánk,riva,Bánk,ribera,Bánk,rive,Bánk,bn:02535385n
bank-riva-ribera-rive,bank,The_Bank_(1915_film),riva,Charlot_inserviente_di_banca,ribera,The_Bank_(película_de_1915),rive,Charlot_garçon_de_banque,bn:01913359n
